Postcode,Latitude,Longitude
B61 7ED,51.33669,0.75077
BA4 6QS,51.98743,-0.8565
BH15 4LW,53.36327,-2.55241
BH25 5QB,51.624,-1.32947
BH25 5QB,51.70212,-0.14249
BS16 7AD,52.6937,-2.86504
BS30 5TJ,50.87991,0.65861
BS30 5TJ,51.12491,-2.53349
CR3 6EL,54.00602,-1.55356
CR3 6EL,51.468,-2.40912
CW2 6RS,51.468,-2.40912
EN6 4NS,51.55954,-0.61921
GL54 5HB,51.26472,-0.09132
HG1 2BB,51.26472,-0.09132
IP14 5EF,51.39766,0.47775
LA7 7LJ,51.45199,-0.88372
ME10 4UB,51.45199,-0.88372
ME2 3QJ,51.4907,-2.47802
MK17 0EH,51.44285,-0.17345
OX13 6FL,51.44285,-0.17345
RG5 4UD,50.75301,-1.63631
RG5 4UD,50.75301,-1.63631
SL2 3JX,51.04894,-1.34533
SM4 6BS,52.334,-2.078
SO22 4ET,50.71298,-2.0165
SW18 3JX,52.71216,-1.76986
SW18 3JX,52.18722,1.07445
SY5 9GZ,54.215,-2.803
TN35 4AP,53.07411,-2.45766
TR18 4LB,50.1186,-5.54928
WA4 3LJ,51.38618,-0.18831
WS13 8SN,51.97278,-1.99518